Release: v3.198.276.122 | Date: 30.06.2026 - 06.07.2026 | Env: https://ngw-stage.lighthouselabs.io/de/mofa.html
Checkpoint,Template,Section,Test Goal (Expected Result),Section Items,TA,TA Status,Example,URL Testcontent,Who,iPhone 16 iOS Safari/Mobile,iPad iOS Safari/Tablet,MacBook Safari,Samsung Galaxy 8 Chrome/Mobile,Tablet Android Chrome/Tablet,Samsung Galaxy 8 Chrome/Mobile (2),Chrome Desktop,Microsoft Edge Desktop,FireFox,New Jira Ticket,Existing Jira Ticket
One-HUB-GF-01,VW ID,,"Validation, that | - login is possible | - navigate to MyVolkswagen is possible | - navigate to Einstellungen is possible | - logout is possible",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-02,VW ID,,"Validation, that | - password reset is possible | - create a new account is possible | - Merge Consent appears (after removing or new account)",,No,Completed,,,,,,,,,,,,,,
One-HUB-GF-03,NavigationFlayout,,"Validation, that | - open NavigationFlyout is possible | - navigate to 1 Level is possible | - navigate to 2 Level is possible | - navigate to 3 Level is possible | - closing NavigationFlyout with close button is possible",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-04,NavigationFlayout,,"Validation, that | - top - Links are working | - teaser link is working | - language switch is working  | - imprint link is working | - cookie policy link is working  | - legal statement is working | - privacy policy is working | - Lizenshinweise Dritter is working",,No,,,,,,,,,,,,,,,
One-HUB-GF-05,Top Bar,,"Validation, that | - the VW Logo - redirects back  to homepage | - scrolling down the white bar with burger menue item is visible | - scrolling up the complete top bar with burger menue, VW-Logo and top bar Icon are visible",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-08,Search,,"Validation, that | - Search Icon can be enabled and disabled | - verify that the Search Icon is visible on publisher site | - search a target word and verify the search result",,No,,,,,,,,,,,,,,,
One-HUB-GF-09,MOFA ,,"Validation, that | - open Navigationflyout and navigate with the Showroom Journey ""Modelle entdeken"" | - select a car is possible | - select a Trim is possible",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-10,Configurator,,"Validation, that | - open Navigationflyout and navigate with the Configure Journey ""Konfigurator"" | - select a car is possible | - select a Trim is possible | - switch to the configurator and configure a car",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-11,Media Elements,,"Validation, that | - Images in sections or on pages are not blurred | - Animation in sections or on pages are not blurred | - Videos in sections or on pages are not blurred",,No,,,,,,,,,,,,,,,
One-HUB-GF-12,Tables,,"Validation, that | - content of an exiting table are complete as for the deployment: ",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-13,External Link Light Box,,"Validation, that | - the template of the External Link Lightbox can be created | - arranges a Headline, Richtext and a Button | - an external Link can be configured | - create an external link is possible | - edit an external link light box is possible | - create an internen link is possible | - links that are added on the whitelist are displayed  | - links that are added on the blacklist are not displayed ",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-14,External Link Light Box,,"Validation, that | - external Link Light Box appears",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-15,Global Disclaimer,,"Validation, that | - the global disclaimer are displayed on the Mofa Overview page | - the global disclaimer are displayed on the Showroom page | - the global disclaimer are displayed on the Homepage | - the global disclaimer are displayed on the Editorial Page | - the global disclaimer are displayed on content layer | - the global disclaimer are displayed on the Integrator Template",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-16,Integrator Template,,"Validation, that | - open Navigationflyout and select ""Integrator"" | - Integrator template is loaded and Topbar, Footer are displayed properly | - open Navigationflyout, select ""Modelle und Konfigurator"" and navigate to ""Modelle Entdecken"" | - Mofa Overview is loaded and displayed without error messages",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-18,unsupported Browser Notification,,"Validation, that | - an unsupported browser notification is displayed when using the ""updated Browser""",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-19,Breadcrumbs,,"Validation, that breadcrumbs invisible on: | - Homepage | Validation, that breadcrumbs visible on: | - Editorial Overview Page | - it is possible to navigate backwards | - no breadcrumbs for Mobile viewport (<560px) | Validation, that breadcrumbs visible on: | - Editorial Page | - it is possible to navigate backwards | - no breadcrumbs for Mobile viewport (<560px) | Validation, that breadcrumbs: | - Showroom Page | - full path breadcrumbs visible under stage on showroom page without Technical Car Data Section | - it is possible to navigate backwards | - no breadcrumbs for Mobile viewport (<560px) | Validation, that breadcrumbs: | - Showroom Page | - full path breadcrumbs visible under stage on showroom page without Technical Car Data Section | - it is possible to navigate backwards | - no breadcrumbs for Mobile viewport (<560px) | Validation, that breadcrumbs visible on: | - Model Overview Page | - it is possible to navigate backwards | - no breadcrumbs for Mobile viewport (<560px) | Validation, that breadcrumbs visible on: | - Feature App Page | - it is possible to navigate backwards | - no breadcrumbs for Mobile viewport (<560px) |  | ",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-20,In-Page Navigation,,"Validation, that | - the inpage navigation bar can be used for all focus name navigate to corresponding sections on a page | - the inpage navigation bar can be displayed everywhere in the page below the Stage by scrolling the page down or down | - the inpage navigation bar still visible while scrolling the Page up | - the inpage navigation bar is sticky at the top of the page | - configured inpage navigation titles of showrooms are still there, compare with publiher | - set external/internal links to inpage navigation bar",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-21,Anchor,,"Validation, that | - links connected with Anchor can be used in the Showroom Page (all focus links navigate to corresponding sections on the Showroom)",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-22,Alias,,"Validation, that | - an alias can be set | - the site can be called via the alias",,Yes,Completed,,,,TA OK,TA OK,,,TA OK,TA OK,TA OK,,TA OK,,
One-HUB-GF-23,Skip Links,,"Validation, that | - Validate that Skiplinks can be enabled and disabled | - Skip Links are displayed on the page",,No,,,,,,,,,,,,,,,
